,FR-IDF_NC_FR,FR-CVL_NC_FR,FR-BFC_NC_FR,FR-NOR_NC_FR,FR-HDF_NC_FR,FR-GES_NC_FR,FR-PDL_NC_FR,FR-BRE_NC_FR,FR-NAQ_NC_FR,FR-OCC_NC_FR,FR-ARA_NC_FR,FR-PAC_NC_FR,FR-COR_NC_FR,FR-IDF_NC_ET,FR-CVL_NC_ET,FR-BFC_NC_ET,FR-NOR_NC_ET,FR-HDF_NC_ET,FR-GES_NC_ET,FR-PDL_NC_ET,FR-BRE_NC_ET,FR-NAQ_NC_ET,FR-OCC_NC_ET,FR-ARA_NC_ET,FR-PAC_NC_ET,FR-COR_NC_ET,FR-IDF_NH_FR,FR-CVL_NH_FR,FR-BFC_NH_FR,FR-NOR_NH_FR,FR-HDF_NH_FR,FR-GES_NH_FR,FR-PDL_NH_FR,FR-BRE_NH_FR,FR-NAQ_NH_FR,FR-OCC_NH_FR,FR-ARA_NH_FR,FR-PAC_NH_FR,FR-COR_NH_FR,FR-IDF_NH_ET,FR-CVL_NH_ET,FR-BFC_NH_ET,FR-NOR_NH_ET,FR-HDF_NH_ET,FR-GES_NH_ET,FR-PDL_NH_ET,FR-BRE_NH_ET,FR-NAQ_NH_ET,FR-OCC_NH_ET,FR-ARA_NH_ET,FR-PAC_NH_ET,FR-COR_NH_ET,NbDaysOff,FR-ARA_AvgTemp,FR-BFC_AvgTemp,FR-BRE_AvgTemp,FR-CVL_AvgTemp,FR-COR_AvgTemp,FR-GES_AvgTemp,FR-HDF_AvgTemp,FR-IDF_AvgTemp,FR-NOR_AvgTemp,FR-NAQ_AvgTemp,FR-OCC_AvgTemp,FR-PDL_AvgTemp,FR-PAC_AvgTemp,FR-ARA-A-NB,FR-BFC-A-NB,FR-BRE-A-NB,FR-CVL-A-NB,FR-COR-A-NB,FR-GES-A-NB,FR-HDF-A-NB,FR-IDF-A-NB,FR-NOR-A-NB,FR-NAQ-A-NB,FR-OCC-A-NB,FR-PDL-A-NB,FR-PAC-A-NB,FR-ARA-H-NB,FR-BFC-H-NB,FR-BRE-H-NB,FR-CVL-H-NB,FR-COR-H-NB,FR-GES-H-NB,FR-HDF-H-NB,FR-IDF-H-NB,FR-NOR-H-NB,FR-NAQ-H-NB,FR-OCC-H-NB,FR-PDL-H-NB,FR-PAC-H-NB
2010-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.71,226.57,291.74,307.24,404.15,497.81,309.11,255.14,555.97,534.4,1161.01,740.79,28.88,1894.4,27.37,51.33,33.85,69.81,143.86,24.22,18.49,46.09,95.73,497.4,216.09,2.06,11,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2303.15,247.74,373.28,335.33,437.46,545.72,318.54,305.72,682.27,647.87,1505.58,897.76,37.13,1868.26,30.48,63.18,46.47,94.21,178.72,25.33,17.33,41.68,124.24,514.79,217.18,2.88,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2828.36,329.58,403.37,422.87,529.83,632.5,417.2,395.93,840.23,736.66,1577.42,976.26,45.33,2513.12,49.91,73.72,70.11,109.68,229.56,29.0,37.08,76.61,147.82,482.41,351.58,5.04,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-04,63.65,44.52,28.64,143.52,56.02,47.73,433.35,365.68,624.79,513.75,199.96,430.18,29.66,144.98,24.21,34.32,81.74,57.99,63.88,56.69,62.5,122.53,287.21,106.97,388.98,27.22,2714.11,376.22,419.2,551.26,560.27,687.56,460.81,515.72,1087.84,971.96,1263.07,1111.68,151.72,2764.08,87.78,148.45,118.18,175.7,319.82,39.26,65.27,130.26,379.8,387.47,615.63,33.84,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-05,67.68,94.46,82.3,186.42,84.02,96.85,506.49,443.73,709.12,784.57,395.18,535.79,77.32,169.3,59.11,116.3,119.72,121.95,156.71,84.53,97.96,213.7,478.48,235.66,540.49,90.05,2911.72,442.64,482.02,587.63,600.12,785.44,490.38,576.19,1173.6,1092.56,1258.56,1269.81,315.08,3292.25,140.24,192.71,168.06,200.45,393.86,58.55,99.76,178.4,549.67,272.35,796.71,84.89,12,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-06,69.97,87.05,97.45,176.41,81.87,109.94,550.94,437.28,908.98,1111.7,463.71,690.5,212.56,143.13,105.95,173.28,186.15,130.21,210.2,252.97,305.57,525.67,780.3,408.24,720.71,238.87,2847.75,455.52,498.92,561.58,620.45,807.31,561.23,573.32,1202.36,1188.16,1402.62,1328.67,352.96,3308.8,160.18,203.84,213.56,202.88,385.54,78.15,139.33,222.0,533.61,361.49,967.29,139.34,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-07,95.05,279.84,371.95,624.21,354.56,348.05,2922.0,2258.81,5377.13,5654.83,2213.04,2828.35,809.46,333.54,328.44,573.56,481.55,268.87,474.94,799.11,886.17,2441.06,2506.01,1636.06,1825.19,626.05,2550.14,472.73,532.17,627.56,563.32,752.33,572.24,615.63,1468.2,1455.06,1697.22,1676.86,363.77,3866.25,241.2,306.56,275.83,279.91,503.64,101.54,197.32,379.33,734.57,585.42,1279.78,173.78,11,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-08,102.81,319.64,434.76,766.8,406.14,415.86,3880.01,3052.51,7502.0,7553.33,2778.95,3739.16,852.43,354.46,369.89,548.85,469.98,279.09,423.75,874.89,947.58,2351.04,2053.53,1381.98,1601.74,648.75,2080.28,457.31,524.11,687.55,517.02,796.35,632.58,789.65,1799.87,1855.67,1783.65,1892.89,427.49,3650.1,258.18,292.11,300.61,268.16,520.88,103.68,254.19,378.64,707.91,494.38,1342.56,202.72,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-09,36.31,65.15,65.02,153.75,64.69,94.41,438.73,381.28,878.97,954.26,320.12,569.89,190.06,76.77,66.81,109.68,113.72,89.93,131.47,106.24,139.32,467.62,634.62,228.82,604.35,170.1,2668.86,418.81,489.49,561.87,587.73,818.75,512.53,583.6,1248.39,1177.7,1349.3,1262.6,353.8,3322.14,161.13,225.39,203.75,213.85,434.78,82.04,141.06,261.05,623.54,353.07,993.69,133.43,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2843.2,375.11,441.17,501.46,571.9,759.12,438.31,460.95,1037.66,971.16,1131.77,953.83,132.84,3185.0,90.41,145.84,110.4,158.26,363.48,38.33,61.29,149.92,346.57,223.81,561.49,38.39,11,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2622.95,293.68,352.07,375.38,480.49,619.75,374.71,347.93,768.77,635.68,920.71,673.02,41.85,2218.6,41.39,69.01,53.63,117.17,224.59,23.05,28.7,58.89,117.16,154.43,238.06,4.08,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2010-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2795.05,262.21,330.18,317.67,452.17,813.29,334.53,295.76,659.2,573.37,1192.41,667.89,34.18,2408.13,31.82,58.12,31.64,103.01,258.75,18.89,19.61,54.67,109.58,338.19,219.16,3.51,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2485.47,267.93,307.94,321.11,443.61,528.48,335.97,271.31,576.02,550.67,1231.46,691.63,28.15,2046.25,31.42,56.46,28.69,72.99,147.31,22.52,14.94,44.39,96.17,552.89,222.25,2.23,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2236.84,255.22,355.36,376.84,448.92,569.62,357.15,327.93,672.79,648.27,1530.25,844.19,36.12,1916.92,30.13,62.29,39.57,92.02,156.26,23.26,19.58,41.84,122.04,514.26,225.44,1.99,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2758.92,327.84,394.98,441.42,535.29,680.98,411.37,419.89,892.26,730.72,1573.99,967.05,51.26,2682.48,41.37,85.33,60.3,114.88,226.71,28.88,31.24,76.32,125.84,567.59,387.92,3.9,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-04,69.97,49.52,29.72,148.98,77.09,50.81,437.99,383.73,780.61,529.66,199.34,536.87,32.98,133.53,32.65,38.35,96.66,71.12,67.41,64.73,65.02,135.75,221.85,85.25,283.65,20.45,2710.96,380.89,433.11,590.23,569.04,721.44,499.21,553.33,1150.68,985.03,1319.54,1094.64,151.55,3282.42,91.06,140.61,126.71,182.24,356.52,46.31,67.41,155.25,303.65,380.28,666.01,37.78,11,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-05,62.86,70.89,65.21,149.59,75.94,79.49,372.29,345.63,679.9,640.53,300.43,491.92,79.91,132.05,57.66,85.65,108.14,97.06,116.85,76.83,91.46,178.25,299.34,152.51,300.08,58.88,2891.51,412.15,453.78,556.94,594.44,803.13,501.43,545.15,1181.71,1095.09,1246.59,1214.29,281.1,3279.03,131.71,161.07,160.87,177.49,333.54,57.51,88.07,176.72,452.11,264.35,806.01,93.55,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-06,71.73,144.23,147.15,261.96,129.63,142.7,842.77,747.75,1454.65,1510.35,674.63,874.21,204.32,140.89,129.64,212.8,207.03,139.05,275.95,264.71,292.22,626.03,991.34,503.85,833.14,201.08,2888.58,490.59,535.69,627.17,666.51,869.22,632.17,665.75,1362.94,1272.21,1514.44,1412.13,351.18,3475.95,158.76,216.32,217.41,212.47,431.32,87.69,134.56,251.8,510.68,399.6,1082.03,124.86,11,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-07,83.65,282.69,347.42,581.09,329.48,321.83,3010.96,2369.99,5629.96,5824.69,2191.93,2989.0,853.39,284.18,319.69,510.82,435.93,252.19,425.55,737.37,777.47,2199.8,2538.94,1781.33,2079.53,416.11,2553.67,475.43,540.11,602.8,579.83,808.52,620.19,668.53,1541.83,1582.48,1793.56,1727.88,344.36,4175.89,255.03,302.36,264.46,268.96,520.66,99.72,186.48,369.65,640.08,619.93,1445.62,165.82,12,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-08,90.16,300.57,429.83,727.24,398.46,410.31,3798.02,3010.4,7533.25,7425.82,2748.16,3768.99,1009.43,335.9,350.48,535.87,433.01,285.66,408.48,872.07,880.19,2456.31,2276.9,1485.64,1832.66,507.84,2221.45,452.62,526.64,663.28,533.72,861.35,636.64,796.96,1860.85,1863.31,1915.43,1967.67,428.7,3768.17,250.54,285.2,288.42,259.4,535.74,110.92,229.85,368.37,675.01,544.67,1362.16,179.32,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-09,38.04,73.68,77.04,153.14,65.7,105.56,456.81,417.92,1044.12,1176.42,372.07,712.01,241.61,90.06,63.66,121.2,104.88,87.53,134.05,118.83,127.12,489.02,679.95,264.32,720.26,168.82,2679.53,412.16,492.11,557.26,592.63,836.33,559.73,600.31,1324.42,1260.11,1448.27,1368.51,356.37,3385.74,153.25,222.83,198.81,204.17,461.67,73.93,133.56,254.83,585.61,346.27,1048.43,126.89,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2813.97,392.54,446.29,557.15,588.64,806.43,490.31,529.47,1119.89,1080.17,1254.05,1088.92,145.94,3360.84,85.83,141.82,125.1,173.26,364.47,46.33,58.71,136.6,295.66,234.27,635.26,33.05,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2676.02,310.55,367.02,402.55,495.13,673.78,382.35,380.74,776.79,638.31,1017.37,738.06,36.44,2380.49,40.76,69.0,61.36,114.71,204.55,26.19,26.44,67.26,111.19,150.11,247.95,3.37,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2787.58,267.99,330.78,338.67,459.18,872.39,354.41,318.72,652.67,575.25,1252.2,706.56,32.89,2540.88,34.86,63.91,47.27,104.87,264.57,19.56,20.5,55.96,100.57,347.52,247.46,2.57,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2365.64,267.59,313.04,317.5,430.17,526.41,347.13,308.18,585.01,546.27,1254.59,721.86,29.81,2182.24,32.82,54.33,44.72,76.64,156.47,22.53,17.73,44.03,93.41,597.36,218.79,1.92,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2274.1,279.95,348.44,359.75,445.12,579.64,360.1,344.05,678.91,650.01,1629.88,894.32,33.99,2020.76,34.92,61.26,54.32,90.21,185.88,26.61,20.65,47.53,115.42,548.39,217.01,2.1,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2709.5,323.72,393.65,462.29,529.77,675.53,447.31,449.78,877.43,765.9,1668.83,1043.33,50.52,2737.95,53.5,89.61,85.28,130.23,221.19,30.08,38.04,77.13,128.64,538.33,406.54,3.92,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-04,62.0,51.08,33.68,158.0,61.18,49.24,505.24,441.0,785.63,600.71,217.58,527.28,47.68,106.92,24.18,36.34,55.23,73.43,65.11,44.72,48.88,108.26,232.72,90.02,295.59,19.95,2725.12,407.27,404.63,530.14,584.36,718.57,470.48,543.09,1067.62,1003.12,1252.07,1112.57,150.49,3316.18,93.44,128.06,131.96,166.4,316.73,41.51,69.44,146.02,353.21,354.65,693.86,30.58,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-05,66.53,105.52,96.99,204.58,102.12,100.78,596.88,541.89,910.07,950.63,452.2,659.61,81.17,126.55,49.45,123.33,87.73,103.42,159.72,65.81,78.37,182.6,414.99,204.5,407.88,73.71,2669.77,425.76,464.57,584.83,598.64,814.16,503.86,607.72,1193.44,1140.81,1251.2,1220.22,272.31,3488.39,138.04,169.06,173.69,173.19,371.18,55.12,96.37,183.92,480.04,286.42,870.63,95.51,12,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-06,79.89,91.07,101.46,160.72,92.51,104.65,542.07,464.08,1094.29,1252.52,522.73,756.79,221.4,137.12,108.79,207.66,164.07,134.9,208.89,257.22,259.96,602.55,989.92,496.99,850.03,190.62,2911.11,447.49,491.14,571.24,620.91,839.41,584.89,599.51,1221.64,1258.19,1459.14,1336.81,326.07,3528.02,161.71,209.73,198.94,205.01,397.58,86.86,140.86,243.19,492.86,406.77,1112.67,120.84,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-07,84.27,252.8,317.67,506.41,286.36,291.12,2631.64,1997.66,5172.27,5274.85,2090.01,2887.2,859.65,302.02,297.71,593.65,392.77,263.46,434.72,688.18,742.38,2253.53,2907.5,1962.92,2170.04,434.77,2638.84,477.12,524.13,593.54,553.25,795.64,594.32,641.03,1480.65,1512.42,1706.06,1648.38,353.36,4032.32,229.71,301.69,262.01,248.76,519.73,107.98,190.86,372.77,665.14,641.89,1514.97,160.2,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2012-08,111.82,331.45,468.5,756.38,418.66,426.65,3854.45,2916.91,8083.86,7866.76,2860.23,3984.09,1040.71,338.24,314.42,549.8,381.68,301.75,454.01,802.08,825.37,2260.76,2083.11,1543.65,1700.23,482.56,2068.25,450.87,508.97,681.81,515.5,808.96,649.99,786.33,1856.49,1897.47,1889.54,2017.05,468.67,3873.29,230.37,278.52,276.44,276.95,540.69,115.59,220.54,371.68,626.55,538.92,1402.6,179.01,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
